id,id_parameter,id_sector,id_final_energy_carrier,label,unit,importance,2010,2015,2020,2025,2030,2040,2050
1,17,1,1,Share of electricity among removed,%,recommended,0,0,0,0,0,0,0
2,17,1,2,Share of oil among removed,%,recommended,0,0,0,0,0,0,0
3,17,1,3,Share of coal among removed,%,recommended,0,0,0,0,0,0,0
4,17,1,4,Share of gas among removed,%,recommended,100,100,100,100,100,100,100
5,17,1,5,Share of biomass and waste among removed,%,recommended,0,0,0,0,0,0,0
6,17,1,6,Share of heat among removed,%,recommended,0,0,0,0,0,0,0
7,17,1,7,Share of H2 and e-fuels among removed,%,recommended,0,0,0,0,0,0,0
8,18,1,1,Share of electricity among installed,%,recommended,100,100,100,100,100,100,100
9,18,1,2,Share of oil among installed,%,recommended,0,0,0,0,0,0,0
10,18,1,3,Share of coal among installed,%,recommended,0,0,0,0,0,0,0
11,18,1,4,Share of gas among installed,%,recommended,0,0,0,0,0,0,0
12,18,1,5,Share of biomass and waste among installed,%,recommended,0,0,0,0,0,0,0
13,18,1,6,Share of heat among installed,%,recommended,0,0,0,0,0,0,0
14,18,1,7,Share of H2 and e-fuels among installed,%,recommended,0,0,0,0,0,0,0
15,14,1,1,Efficiency of removed electricity,%,optional,1,1,1,1,1,1,1
16,14,1,2,Efficiency of removed oil,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
17,14,1,3,Efficiency of removed coal,%,optional,0.88,0.88,0.88,0.88,0.88,0.88,0.88
18,14,1,4,Efficiency of removed gas,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
19,14,1,5,Efficiency of removed biomass and waste,%,optional,0.88,0.88,0.88,0.88,0.88,0.88,0.88
20,14,1,6,Efficiency of removed heat,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
21,14,1,7,Efficiency of removed H2 and e-fuels,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
22,15,1,1,Efficiency of installed electricity,%,optional,1.5,1.5,1.5,1.5,1.5,1.5,1.5
23,15,1,2,Efficiency of installed oil,%,optional,0.94,0.94,0.94,0.94,0.94,0.94,0.94
24,15,1,3,Efficiency of installed coal,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
25,15,1,4,Efficiency of installed gas,%,optional,0.93,0.93,0.93,0.93,0.93,0.93,0.93
26,15,1,5,Efficiency of installed biomass and waste,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
27,15,1,6,Efficiency of installed heat,%,optional,0.92,0.92,0.92,0.92,0.92,0.92,0.92
28,15,1,7,Efficiency of installed H2 and e-fuels,%,optional,0.93,0.93,0.93,0.93,0.93,0.93,0.93
29,17,2,1,Share of electricity among removed,%,recommended,0,0,0,0,0,0,0
30,17,2,2,Share of oil among removed,%,recommended,0,0,0,0,0,0,0
31,17,2,3,Share of coal among removed,%,recommended,0,0,0,0,0,0,0
32,17,2,4,Share of gas among removed,%,recommended,100,100,100,100,100,100,100
33,17,2,5,Share of biomass and waste among removed,%,recommended,0,0,0,0,0,0,0
34,17,2,6,Share of heat among removed,%,recommended,0,0,0,0,0,0,0
35,17,2,7,Share of H2 and e-fuels among removed,%,recommended,0,0,0,0,0,0,0
36,18,2,1,Share of electricity among installed,%,recommended,100,100,100,100,100,100,100
37,18,2,2,Share of oil among installed,%,recommended,0,0,0,0,0,0,0
38,18,2,3,Share of coal among installed,%,recommended,0,0,0,0,0,0,0
39,18,2,4,Share of gas among installed,%,recommended,0,0,0,0,0,0,0
40,18,2,5,Share of biomass and waste among installed,%,recommended,0,0,0,0,0,0,0
41,18,2,6,Share of heat among installed,%,recommended,0,0,0,0,0,0,0
42,18,2,7,Share of H2 and e-fuels among installed,%,recommended,0,0,0,0,0,0,0
43,14,2,1,Efficiency of removed electricity,%,optional,1,1,1,1,1,1,1
44,14,2,2,Efficiency of removed oil,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
45,14,2,3,Efficiency of removed coal,%,optional,0.88,0.88,0.88,0.88,0.88,0.88,0.88
46,14,2,4,Efficiency of removed gas,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
47,14,2,5,Efficiency of removed biomass and waste,%,optional,0.88,0.88,0.88,0.88,0.88,0.88,0.88
48,14,2,6,Efficiency of removed heat,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
49,14,2,7,Efficiency of removed H2 and e-fuels,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
50,15,2,1,Efficiency of installed electricity,%,optional,1.5,1.5,1.5,1.5,1.5,1.5,1.5
51,15,2,2,Efficiency of installed oil,%,optional,0.94,0.94,0.94,0.94,0.94,0.94,0.94
52,15,2,3,Efficiency of installed coal,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
53,15,2,4,Efficiency of installed gas,%,optional,0.93,0.93,0.93,0.93,0.93,0.93,0.93
54,15,2,5,Efficiency of installed biomass and waste,%,optional,0.9,0.9,0.9,0.9,0.9,0.9,0.9
55,15,2,6,Efficiency of installed heat,%,optional,0.92,0.92,0.92,0.92,0.92,0.92,0.92
56,15,2,7,Efficiency of installed H2 and e-fuels,%,optional,0.93,0.93,0.93,0.93,0.93,0.93,0.93
57,17,3,1,Share of electricity among removed,%,recommended,0,0,0,0,0,0,0
58,17,3,2,Share of oil among removed,%,recommended,30,30,30,30,30,30,30
59,17,3,3,Share of coal among removed,%,recommended,10,10,10,10,10,10,10
60,17,3,4,Share of gas among removed,%,recommended,60,60,60,60,60,60,60
61,17,3,5,Share of biomass and waste among removed,%,recommended,0,0,0,0,0,0,0
62,17,3,6,Share of heat among removed,%,recommended,0,0,0,0,0,0,0
63,17,3,7,Share of H2 and e-fuels among removed,%,recommended,0,0,0,0,0,0,0
64,18,3,1,Share of electricity among installed,%,recommended,100,100,100,100,100,100,100
65,18,3,2,Share of oil among installed,%,recommended,0,0,0,0,0,0,0
66,18,3,3,Share of coal among installed,%,recommended,0,0,0,0,0,0,0
67,18,3,4,Share of gas among installed,%,recommended,0,0,0,0,0,0,0
68,18,3,5,Share of biomass and waste among installed,%,recommended,0,0,0,0,0,0,0
69,18,3,6,Share of heat among installed,%,recommended,0,0,0,0,0,0,0
70,18,3,7,Share of H2 and e-fuels among installed,%,recommended,0,0,0,0,0,0,0
71,14,3,1,Efficiency of removed electricity,%,optional,1,1,1,1,1,1,1
72,14,3,2,Efficiency of removed oil,%,optional,0.8645,0.8645,0.874,0.874,0.8835,0.893,0.9025
73,14,3,3,Efficiency of removed coal,%,optional,0.4275,0.4275,0.475,0.57,0.646,0.646,0.646
74,14,3,4,Efficiency of removed gas,%,optional,0.931,0.931,0.9405,0.9405,0.95,0.95475,0.95475
75,14,3,5,Efficiency of removed biomass and waste,%,optional,0.79325,0.79325,0.79325,0.81225,0.836,0.8455,0.855
76,14,3,6,Efficiency of removed heat,%,optional,0.9367,0.93765,0.9405,0.9405,0.942875,0.942875,0.94525
77,14,3,7,Efficiency of removed H2 and e-fuels,%,optional,0.93955,0.940025,0.9405,0.9405,0.95,0.95475,0.95475
78,15,3,1,Efficiency of installed electricity,%,optional,3.025,3.025,3.025,3.175,3.325,3.475,3.6
79,15,3,2,Efficiency of installed oil,%,optional,0.91,0.91,0.92,0.92,0.93,0.94,0.95
80,15,3,3,Efficiency of installed coal,%,optional,0.45,0.45,0.5,0.6,0.68,0.68,0.68
81,15,3,4,Efficiency of installed gas,%,optional,0.98,0.98,0.99,0.99,1,1.005,1.005
82,15,3,5,Efficiency of installed biomass and waste,%,optional,0.835,0.835,0.835,0.855,0.88,0.89,0.9
83,15,3,6,Efficiency of installed heat,%,optional,0.986,0.987,0.99,0.99,0.9925,0.9925,0.995
84,15,3,7,Efficiency of installed H2 and e-fuels,%,optional,0.989,0.9895,0.99,0.99,1,1.005,1.005
85,17,4,1,Share of electricity among removed,%,recommended,0,0,0,0,0,0,0
86,17,4,2,Share of oil among removed,%,recommended,30,30,30,30,30,30,30
87,17,4,3,Share of coal among removed,%,recommended,10,10,10,10,10,10,10
88,17,4,4,Share of gas among removed,%,recommended,60,60,60,60,60,60,60
89,17,4,5,Share of biomass and waste among removed,%,recommended,0,0,0,0,0,0,0
90,17,4,6,Share of heat among removed,%,recommended,0,0,0,0,0,0,0
91,17,4,7,Share of H2 and e-fuels among removed,%,recommended,0,0,0,0,0,0,0
92,18,4,1,Share of electricity among installed,%,recommended,100,100,100,100,100,100,100
93,18,4,2,Share of oil among installed,%,recommended,0,0,0,0,0,0,0
94,18,4,3,Share of coal among installed,%,recommended,0,0,0,0,0,0,0
95,18,4,4,Share of gas among installed,%,recommended,0,0,0,0,0,0,0
96,18,4,5,Share of biomass and waste among installed,%,recommended,0,0,0,0,0,0,0
97,18,4,6,Share of heat among installed,%,recommended,0,0,0,0,0,0,0
98,18,4,7,Share of H2 and e-fuels among installed,%,recommended,0,0,0,0,0,0,0
99,14,4,1,Efficiency of removed electricity,%,optional,1,1,1,1,1,1,1
100,14,4,2,Efficiency of removed oil,%,optional,0.8645,0.8645,0.874,0.874,0.8835,0.893,0.9025
101,14,4,3,Efficiency of removed coal,%,optional,0.4275,0.4275,0.475,0.57,0.646,0.646,0.646
102,14,4,4,Efficiency of removed gas,%,optional,0.931,0.931,0.9405,0.9405,0.95,0.95475,0.95475
103,14,4,5,Efficiency of removed biomass and waste,%,optional,0.79325,0.79325,0.79325,0.81225,0.836,0.8455,0.855
104,14,4,6,Efficiency of removed heat,%,optional,0.9367,0.93765,0.9405,0.9405,0.942875,0.942875,0.94525
105,14,4,7,Efficiency of removed H2 and e-fuels,%,optional,0.93955,0.940025,0.9405,0.9405,0.95,0.95475,0.95475
106,15,4,1,Efficiency of installed electricity,%,optional,3.025,3.025,3.025,3.175,3.325,3.475,3.6
107,15,4,2,Efficiency of installed oil,%,optional,0.91,0.91,0.92,0.92,0.93,0.94,0.95
108,15,4,3,Efficiency of installed coal,%,optional,0.45,0.45,0.5,0.6,0.68,0.68,0.68
109,15,4,4,Efficiency of installed gas,%,optional,0.98,0.98,0.99,0.99,1,1.005,1.005
110,15,4,5,Efficiency of installed biomass and waste,%,optional,0.835,0.835,0.835,0.855,0.88,0.89,0.9
111,15,4,6,Efficiency of installed heat,%,optional,0.986,0.987,0.99,0.99,0.9925,0.9925,995
112,15,4,7,Efficiency of installed H2 and e-fuels,%,optional,0.989,0.9895,0.99,0.99,1,1.005,1.005
113,17,5,1,Share of electricity among removed,%,recommended,0,0,0,0,0,0,0
114,17,5,2,Share of oil among removed,%,recommended,100,100,100,100,100,100,100
115,17,5,3,Share of coal among removed,%,recommended,0,0,0,0,0,0,0
116,17,5,4,Share of gas among removed,%,recommended,0,0,0,0,0,0,0
117,17,5,5,Share of biomass and waste among removed,%,recommended,0,0,0,0,0,0,0
118,17,5,6,Share of heat among removed,%,recommended,0,0,0,0,0,0,0
119,17,5,7,Share of H2 and e-fuels among removed,%,recommended,0,0,0,0,0,0,0
120,18,5,1,Share of electricity among installed,%,recommended,100,100,100,100,100,100,100
121,18,5,2,Share of oil among installed,%,recommended,0,0,0,0,0,0,0
122,18,5,3,Share of coal among installed,%,recommended,0,0,0,0,0,0,0
123,18,5,4,Share of gas among installed,%,recommended,0,0,0,0,0,0,0
124,18,5,5,Share of biomass and waste among installed,%,recommended,0,0,0,0,0,0,0
125,18,5,6,Share of heat among installed,%,recommended,0,0,0,0,0,0,0
126,18,5,7,Share of H2 and e-fuels among installed,%,recommended,0,0,0,0,0,0,0
127,14,5,1,Efficiency of removed electricity,%,optional,0.65,0.65,0.65,0.65,0.65,0.65,0.65
128,14,5,2,Efficiency of removed oil,%,optional,0.28,0.28,0.28,0.28,0.28,0.28,0.28
129,14,5,3,Efficiency of removed coal,%,optional,0.14,0.14,0.14,0.14,0.14,0.14,0.14
130,14,5,4,Efficiency of removed gas,%,optional,0.38,0.38,0.38,0.38,0.38,0.38,0.38
131,14,5,5,Efficiency of removed biomass and waste,%,optional,0.14,0.14,0.14,0.14,0.14,0.14,0.14
132,14,5,6,Efficiency of removed heat,%,optional,0,0,0,0,0,0,0
133,14,5,7,Efficiency of removed H2 and e-fuels,%,optional,0.38,0.38,0.38,0.38,0.38,0.38,0.38
134,15,5,1,Efficiency of installed electricity,%,optional,0.75,0.75,0.75,0.75,0.75,0.75,0.75
135,15,5,2,Efficiency of installed oil,%,optional,0.3,0.3,0.3,0.3,0.3,0.3,0.3
136,15,5,3,Efficiency of installed coal,%,optional,0.15,0.15,0.15,0.15,0.15,0.15,0.15
137,15,5,4,Efficiency of installed gas,%,optional,0.4,0.4,0.4,0.4,0.4,0.4,0.4
138,15,5,5,Efficiency of installed biomass and waste,%,optional,0.15,0.15,0.15,0.15,0.15,0.15,0.15
139,15,5,6,Efficiency of installed heat,%,optional,0,0,0,0,0,0,0
140,15,5,7,Efficiency of installed H2 and e-fuels,%,optional,0.4,0.4,0.4,0.4,0.4,0.4,0.4
